Company,Ram,Touchscreen,Gpu_brand,Cpu_brand,P,os,M,G,MD,W,AI,S,O
Asus,16,0,Nvidia,Intel Core i7,4.226,Windows,1,1,1,1,1,0,0
HP,4,0,AMD,Intel Core i3,0.935,Windows,1,0,0,0,0,1,1
HP,4,0,Intel,Intel Dual Core,0.488,Windows,1,0,0,0,0,1,1
Lenovo,4,0,Intel,Intel Core i5,1.17,Windows,1,0,0,0,0,1,1
Asus,12,0,Nvidia,Intel Core i7,2.023,Linux,1,0,0,0,1,0,0
Microsoft,4,1,Intel,Intel Core i5,2.321,Windows,1,0,0,0,0,1,1
Dell,8,0,AMD,Intel Core i7,2.035,Windows,1,0,0,0,1,0,0
Dell,8,0,AMD,Intel Core i7,1.854,Windows,1,0,0,0,1,0,0
MSI,8,0,Nvidia,Intel Core i5,2.334,Windows,0,0,0,0,0,0,0
Acer,8,0,Intel,Intel Core i3,0.829,Windows,1,0,0,0,0,1,1
Asus,8,0,Nvidia,Intel Core i7,2.023,Windows,1,0,0,0,1,0,0
Lenovo,8,0,Intel,Intel Core i5,1.106,Linux,1,0,0,0,0,1,1
Dell,8,0,Intel,Intel Core i7,1.822,Windows,1,0,0,0,1,1,1
Acer,4,0,Nvidia,Intel Core i3,1.13,Windows,1,0,0,0,0,1,1
HP,8,0,Nvidia,Intel Core i5,2.082,Windows,0,0,0,0,0,0,0
Dell,8,0,Intel,Intel Core i5,2.336,Windows,1,0,0,0,0,1,1
Apple,8,0,Intel,Intel Core i5,3.218,Mac,1,0,0,0,0,1,1
HP,8,0,Intel,Intel Core i5,1.833,Windows,1,0,0,0,0,1,1
Lenovo,4,0,AMD,AMD Processor,0.85,Windows,0,0,0,0,0,0,0
Acer,4,0,AMD,AMD Processor,0.842,Windows,0,0,0,0,0,0,0
Dell,16,0,Nvidia,Intel Core i7,2.875,Windows,1,1,1,1,1,0,0
HP,8,0,Nvidia,Intel Core i7,1.49,Windows,1,0,0,0,1,0,0
HP,8,0,Intel,Intel Core i5,1.277,Windows,1,0,0,0,0,1,1
Asus,16,0,Nvidia,Intel Core i7,3.088,Windows,1,1,1,1,1,0,0
Dell,8,0,Intel,Intel Core i7,3.514,Windows,1,0,0,0,1,1,1
Asus,8,0,AMD,AMD Processor,1.49,Windows,0,0,0,0,0,0,0
Acer,8,0,Nvidia,Intel Core i7,1.468,Windows,1,0,0,0,1,0,0
HP,16,0,Intel,Intel Core i7,2.551,Windows,1,0,0,1,1,1,1
Dell,8,0,Nvidia,Intel Core i5,2.547,Windows,0,0,0,0,0,0,0
Asus,8,0,Intel,Intel Core i7,2.236,Windows,1,0,0,0,1,1,1
Acer,8,1,Intel,Intel Core i5,1.805,Windows,1,0,0,0,0,1,1
Dell,8,0,AMD,Intel Core i7,1.279,Linux,1,0,0,0,1,0,0
Dell,4,0,AMD,Intel Core i3,1.034,Linux,1,0,0,0,0,1,1
Asus,6,0,Nvidia,Intel Core i3,1.23,Windows,1,0,0,0,0,1,1
HP,12,0,Nvidia,Intel Core i7,2.662,Windows,1,0,0,0,1,0,0
HP,8,0,AMD,Intel Core i7,1.532,Windows,1,0,0,0,1,0,0
HP,4,0,AMD,AMD Processor,0.744,Windows,0,0,0,0,0,0,0
Dell,8,0,AMD,Intel Core i5,1.379,Linux,0,0,0,0,0,0,0
HP,8,0,Nvidia,Intel Core i7,2.385,Windows,1,0,0,0,1,0,0
Microsoft,8,1,Intel,Intel Core i5,2.856,Windows,1,0,0,0,0,1,1
HP,6,0,Nvidia,Intel Core i5,1.404,Windows,0,0,0,0,0,0,0
Lenovo,4,0,Intel,Intel Core i3,0.884,Windows,1,0,0,0,0,1,1
Asus,8,0,Nvidia,Intel Core i7,2.543,Windows,1,0,0,0,1,0,0
MSI,16,0,Nvidia,Intel Core i7,2.768,Windows,1,1,1,1,1,0,0
Lenovo,8,0,Intel,Intel Core i7,3.154,Windows,1,0,0,0,1,1,1
Asus,16,0,Nvidia,Intel Core i7,2.69,Windows,1,1,1,1,1,0,0
Dell,8,1,Intel,Intel Core i7,2.939,Windows,1,0,0,0,1,1,1
Lenovo,8,1,Intel,Intel Core i5,2.982,Windows,1,0,0,0,0,1,1
HP,4,0,Intel,Intel Core i5,1.539,Windows,1,0,0,0,0,1,1
Dell,8,0,Intel,Intel Core i5,3.472,Windows,1,0,0,0,0,1,1
HP,8,1,Intel,Intel Core i5,2.982,Windows,1,0,0,0,0,1,1
HP,8,0,Intel,Intel Core i7,2.31,Windows,1,0,0,0,1,1,1
Dell,8,0,Nvidia,Intel Core i7,2.409,Windows,1,0,0,0,1,0,0
Asus,4,0,Nvidia,Intel Core i3,1.202,Windows,1,0,0,0,0,1,1
Asus,8,0,Nvidia,Intel Core i7,2.383,Windows,1,0,0,0,1,0,0
Acer,6,1,Intel,Intel Core i3,1.021,Windows,1,0,0,0,0,1,1
MSI,16,0,Nvidia,Intel Core i7,4.777,Windows,1,1,1,1,1,0,0
Lenovo,8,0,Nvidia,Intel Core i5,1.341,Linux,0,0,0,0,0,0,0
HP,16,0,Nvidia,Intel Core i7,2.709,Windows,1,1,1,1,1,0,0
Acer,4,0,AMD,AMD Processor,0.961,Windows,0,0,0,0,0,0,0
HP,4,0,Intel,Intel Dual Core,0.552,Linux,1,0,0,0,0,1,1
HP,8,0,Intel,Intel Core i5,1.731,Windows,1,0,0,0,0,1,1
Asus,4,0,AMD,AMD Processor,0.592,Windows,0,0,0,0,0,0,0
Dell,16,0,AMD,Intel Core i7,2.975,Windows,1,1,1,1,1,0,0
HP,8,0,Intel,Intel Core i5,1.978,Windows,1,0,0,0,0,1,1
Dell,8,0,AMD,Intel Core i5,1.362,Windows,0,0,0,0,0,0,0
Dell,4,0,AMD,Intel Core i3,0.957,Windows,1,0,0,0,0,1,1
Acer,8,0,Intel,Intel Core i7,1.884,Windows,1,0,0,0,1,1,1
Acer,4,0,Nvidia,Intel Core i3,1.219,Windows,1,0,0,0,0,1,1
HP,8,0,Intel,Intel Core i7,1.274,Windows,1,0,0,0,1,1,1
HP,8,0,Intel,Intel Core i7,2.106,Windows,1,0,0,0,1,1,1
Lenovo,4,0,Intel,Intel Dual Core,0.538,Linux,1,0,0,0,0,1,1
Asus,8,0,Nvidia,Intel Core i5,1.999,Windows,0,0,0,0,0,0,0
Lenovo,4,0,Nvidia,Intel Core i5,1.063,Linux,0,0,0,0,0,0,0
HP,4,0,Intel,Intel Core i5,1.49,Windows,1,0,0,0,0,1,1
Acer,4,0,Nvidia,Intel Core i3,1.396,Windows,1,0,0,0,0,1,1
Lenovo,8,0,AMD,Intel Core i5,2.378,Windows,0,0,0,0,0,0,0
Lenovo,8,0,Nvidia,Intel Core i7,1.852,Linux,1,0,0,0,1,0,0
Toshiba,4,0,Intel,Intel Core i5,1.283,Windows,1,0,0,0,0,1,1
HP,4,0,AMD,AMD Processor,0.786,Windows,0,0,0,0,0,0,0
Asus,8,0,Intel,Intel Core i7,2.342,Windows,1,0,0,0,1,1,1
HP,8,1,Intel,Intel Dual Core,4.292,Windows,1,0,0,0,0,1,1
Asus,4,0,Intel,Intel Dual Core,0.733,Windows,1,0,0,0,0,1,1
MSI,16,0,Nvidia,Intel Core i7,4.324,Windows,1,1,1,1,1,0,0
Acer,4,0,Intel,Intel Core i3,0.953,Windows,1,0,0,0,0,1,1
Dell,16,0,Nvidia,Intel Core i7,2.662,Windows,1,1,1,1,1,0,0
Dell,8,0,Nvidia,Intel Core i7,1.916,Windows,1,0,0,0,1,0,0
Lenovo,4,0,Intel,Intel Core i5,1.061,Windows,1,0,0,0,0,1,1
MSI,16,0,Nvidia,Intel Core i7,4.028,Windows,1,1,1,1,1,0,0
HP,4,0,Intel,Intel Core i5,2.306,Windows,1,0,0,0,0,1,1
HP,6,0,AMD,Intel Core i5,1.319,Windows,0,0,0,0,0,0,0
Lenovo,4,1,Intel,Intel Core i3,1.341,Windows,1,0,0,0,0,1,1
Asus,8,1,Intel,Intel Core i5,2.803,Windows,1,0,0,0,0,1,1
Dell,8,1,Intel,Intel Core i7,2.236,Windows,1,0,0,0,1,1,1
Toshiba,4,0,Intel,Intel Core i3,0.953,Windows,1,0,0,0,0,1,1
Asus,4,0,AMD,AMD Processor,0.859,Windows,0,0,0,0,0,0,0
Acer,4,0,Nvidia,Intel Core i5,1.716,Windows,0,0,0,0,0,0,0
Dell,8,0,AMD,Intel Core i5,1.552,Windows,0,0,0,0,0,0,0
Lenovo,16,0,Nvidia,Intel Core i7,2.3,Windows,1,1,1,1,1,0,0
Acer,4,0,Intel,Intel Dual Core,0.742,Windows,1,0,0,0,0,1,1
MSI,16,0,Nvidia,Intel Core i7,3.834,Windows,1,1,1,1,1,0,0
Acer,4,0,Intel,Intel Dual Core,0.775,Windows,1,0,0,0,0,1,1
Dell,8,0,Nvidia,Intel Core i7,2.26,Windows,1,0,0,0,1,0,0
Acer,8,0,Nvidia,Intel Core i5,1.82,Windows,0,0,0,0,0,0,0
HP,4,0,Intel,Intel Core i5,1.607,Windows,1,0,0,0,0,1,1
Huawei,8,0,Intel,Intel Core i5,2.875,Windows,1,0,0,0,0,1,1
HP,6,0,AMD,Intel Core i5,1.49,Windows,0,0,0,0,0,0,0
Lenovo,4,0,AMD,AMD Processor,0.659,Linux,0,0,0,0,0,0,0
Toshiba,4,0,Intel,Intel Core i3,1.042,Windows,1,0,0,0,0,1,1
HP,8,0,Nvidia,Intel Core i5,1.967,Windows,0,0,0,0,0,0,0
Dell,8,0,Intel,Intel Core i3,0.978,Windows,1,0,0,0,0,1,1
Acer,4,0,Intel,Intel Core i3,0.957,Windows,1,0,0,0,0,1,1
MSI,32,0,Nvidia,Intel Core i7,5.965,Windows,1,1,1,1,1,0,0
Lenovo,8,0,AMD,Intel Core i5,1.733,Windows,0,0,0,0,0,0,0
HP,8,1,Intel,Intel Core i5,3.195,Windows,1,0,0,0,0,1,1
Dell,16,0,AMD,Intel Core i7,2.236,Linux,1,1,1,1,1,0,0
Dell,8,0,Intel,Intel Core i5,2.982,Windows,1,0,0,0,0,1,1
Lenovo,16,1,Intel,Intel Core i7,3.941,Windows,1,0,0,1,1,1,1
Toshiba,8,0,Intel,Intel Core i5,1.69,Windows,1,0,0,0,0,1,1
Xiaomi,8,0,Nvidia,Intel Core i5,2.555,Linux,0,0,0,0,0,0,0
Dell,16,1,Nvidia,Intel Core i7,3.301,Windows,1,1,1,1,1,0,0
Dell,16,1,Nvidia,Intel Core i7,5.108,Windows,1,1,1,1,1,0,0
Lenovo,8,0,Nvidia,Intel Core i5,1.66,Linux,0,0,0,0,0,0,0
Acer,8,0,Intel,Intel Core i5,2.108,Windows,1,0,0,0,0,1,1
Dell,8,0,AMD,Intel Core i7,2.312,Windows,1,0,0,0,1,0,0
Lenovo,16,1,Intel,Intel Core i7,6.019,Windows,1,0,0,1,1,1,1
Vero,4,0,Intel,Intel Dual Core,0.554,Windows,1,0,0,0,0,1,1
Xiaomi,8,0,Nvidia,Intel Core i5,2.131,Linux,0,0,0,0,0,0,0
Lenovo,8,0,Nvidia,Intel Core i5,1.488,Linux,0,0,0,0,0,0,0
Dell,8,1,Intel,Intel Core i7,1.788,Windows,1,0,0,0,1,1,1
HP,8,0,Nvidia,Intel Core i5,1.948,Windows,0,0,0,0,0,0,0
Razer,32,1,Nvidia,Intel Core i7,12.998,Windows,1,1,1,1,1,0,0
HP,8,0,Intel,Intel Core i5,2.044,Windows,1,0,0,0,0,1,1
HP,16,0,Nvidia,Intel Core i7,2.939,Windows,1,1,1,1,1,0,0
HP,8,0,Nvidia,Intel Core i7,2.227,Windows,1,0,0,0,1,0,0
Dell,16,0,Nvidia,Intel Core i7,3.932,Windows,1,1,1,1,1,0,0
Lenovo,4,0,Intel,Intel Core i5,1.051,Windows,1,0,0,0,0,1,1
Acer,8,0,Nvidia,Intel Core i7,1.581,Windows,1,0,0,0,1,0,0
Lenovo,16,0,Nvidia,Intel Core i7,3.727,Windows,1,1,1,1,1,0,0
Dell,16,0,Nvidia,Intel Dual Core,6.511,Windows,0,0,1,1,0,0,0
Lenovo,16,0,Nvidia,Intel Core i7,2.979,Linux,1,1,1,1,1,0,0
Dell,6,1,Intel,Intel Core i3,0.936,Windows,1,0,0,0,0,1,1
Dell,8,1,Intel,Intel Core i7,4.154,Windows,1,0,0,0,1,1,1
Dell,8,0,Intel,Intel Core i7,3.088,Windows,1,0,0,0,1,1,1
Lenovo,8,0,Intel,Intel Core i5,1.272,Windows,1,0,0,0,0,1,1
Acer,8,0,Nvidia,Intel Core i7,1.66,Linux,1,0,0,0,1,0,0
Asus,16,0,Nvidia,Intel Core i7,2.999,Windows,1,1,1,1,1,0,0
HP,4,0,Intel,Intel Core i3,0.744,Linux,1,0,0,0,0,1,1
Lenovo,8,0,Intel,Intel Core i5,1.17,Linux,1,0,0,0,0,1,1
Huawei,8,0,Intel,Intel Core i7,3.195,Windows,1,0,0,0,1,1,1
Dell,8,0,AMD,Intel Core i7,1.986,Windows,1,0,0,0,1,0,0
Lenovo,8,0,Nvidia,Intel Core i5,1.255,Linux,0,0,0,0,0,0,0
HP,8,0,Nvidia,Intel Core i7,2.197,Windows,1,0,0,0,1,0,0
Dell,8,0,Intel,Intel Core i5,2.449,Windows,1,0,0,0,0,1,1
Dell,16,1,Intel,Intel Core i7,2.726,Windows,1,0,0,1,1,1,1
Dell,8,0,AMD,Intel Core i5,1.444,Linux,0,0,0,0,0,0,0
Lenovo,8,0,Intel,Intel Core i5,1.916,Windows,1,0,0,0,0,1,1
Toshiba,8,0,Intel,Intel Core i7,2.905,Windows,1,0,0,0,1,1,1
HP,8,0,Intel,Intel Core i5,1.692,Windows,1,0,0,0,0,1,1
Dell,16,0,Nvidia,Intel Core i7,5.235,Windows,1,1,1,1,1,0,0
Acer,8,0,Nvidia,Intel Core i7,1.773,Windows,1,0,0,0,1,0,0
Dell,16,1,AMD,Intel Core i7,1.831,Windows,1,1,1,1,1,0,0
Asus,8,0,Nvidia,Intel Core i5,1.639,Windows,0,0,0,0,0,0,0
Asus,8,0,Nvidia,Intel Core i5,1.899,Windows,0,0,0,0,0,0,0
HP,8,0,AMD,Intel Core i7,2.704,Windows,1,0,0,0,1,0,0
Asus,4,0,Intel,Intel Core i3,0.85,Windows,1,0,0,0,0,1,1
HP,4,0,AMD,AMD Processor,0.703,Windows,0,0,0,0,0,0,0
Lenovo,16,0,Nvidia,Intel Core i7,3.195,Windows,1,1,1,1,1,0,0
Dell,8,0,Intel,Intel Core i5,1.831,Windows,1,0,0,0,0,1,1
Acer,8,1,Intel,Intel Core i5,1.468,Windows,1,0,0,0,0,1,1
Dell,16,0,AMD,Intel Core i7,1.916,Linux,1,1,1,1,1,0,0
Acer,4,0,Intel,Intel Core i3,0.831,Linux,1,0,0,0,0,1,1
Asus,4,0,AMD,AMD Processor,1.225,Windows,0,0,0,0,0,0,0
Asus,32,0,Nvidia,Intel Core i7,8.29,Windows,1,1,1,1,1,0,0
Acer,8,0,Nvidia,Intel Core i5,1.803,Windows,0,0,0,0,0,0,0
Lenovo,8,0,Intel,Intel Core i3,1.255,Windows,1,0,0,0,0,1,1
Asus,8,0,Nvidia,Intel Core i7,2.44,Windows,1,0,0,0,1,0,0
Asus,8,0,Nvidia,Intel Core i7,1.895,Linux,1,0,0,0,1,0,0
Dell,8,0,Nvidia,Intel Core i5,1.873,Windows,0,0,0,0,0,0,0
Lenovo,8,1,Intel,Intel Core i7,2.3,Windows,1,0,0,0,1,1,1
Dell,8,0,AMD,Intel Core i7,2.099,Windows,1,0,0,0,1,0,0
HP,8,1,Intel,Intel Core i5,1.191,Windows,1,0,0,0,0,1,1
Asus,16,0,Nvidia,Intel Core i7,6.391,Windows,1,1,1,1,1,0,0
HP,4,0,Intel,Intel Core i5,1.439,Windows,1,0,0,0,0,1,1
Apple,8,0,Intel,Intel Core i5,4.348,Mac,1,0,0,0,0,1,1
Dell,8,1,Intel,Intel Core i7,1.745,Windows,1,0,0,0,1,1,1
Asus,16,0,Nvidia,Intel Core i7,3.834,Windows,1,1,1,1,1,0,0
Asus,4,0,AMD,AMD Processor,1.0,Windows,0,0,0,0,0,0,0
Lenovo,8,1,Intel,Intel Core i7,3.941,Windows,1,0,0,0,1,1,1
Acer,4,0,Nvidia,Intel Core i3,1.496,Windows,1,0,0,0,0,1,1
Dell,8,0,Intel,Intel Core i5,2.023,Windows,1,0,0,0,0,1,1
HP,8,0,AMD,AMD Processor,0.95,Windows,0,0,0,0,0,0,0
HP,16,0,Nvidia,Intel Core i7,2.257,Windows,1,1,1,1,1,0,0
MSI,16,0,Nvidia,Intel Core i7,5.326,Windows,1,1,1,1,1,0,0
Lenovo,8,1,Nvidia,Intel Core i7,3.621,Windows,1,0,0,0,1,0,0
Dell,8,0,AMD,Intel Core i7,2.434,Windows,1,0,0,0,1,0,0
Lenovo,4,0,Intel,Intel Core i3,0.946,Linux,1,0,0,0,0,1,1
HP,4,0,Intel,Intel Core i5,1.539,Windows,1,0,0,0,0,1,1
Dell,4,0,Intel,Intel Core i5,1.4,Windows,1,0,0,0,0,1,1
Dell,8,0,AMD,Intel Core i5,1.204,Windows,0,0,0,0,0,0,0
Dell,8,1,Intel,Intel Core i5,1.703,Windows,1,0,0,0,0,1,1
Asus,8,1,Intel,Intel Core i7,3.195,Windows,1,0,0,0,1,1,1
Lenovo,4,0,Intel,Intel Core i5,0.995,Linux,1,0,0,0,0,1,1
HP,8,0,Nvidia,Intel Core i7,2.17,Windows,1,0,0,0,1,0,0
Lenovo,8,0,Intel,Intel Core i7,1.875,Windows,1,0,0,0,1,1,1
Apple,8,0,Intel,Intel Core i5,4.175,Mac,1,0,0,0,0,1,1
Asus,16,0,AMD,AMD Processor,3.301,Windows,0,0,1,1,0,0,0
Dell,8,0,AMD,Intel Core i7,1.567,Linux,1,0,0,0,1,0,0
Lenovo,16,1,Intel,Intel Core i7,5.326,Windows,1,0,0,1,1,1,1
Toshiba,8,0,Nvidia,Intel Core i7,1.731,Windows,1,0,0,0,1,0,0
Dell,12,0,Intel,Intel Core i7,1.52,Windows,1,0,0,0,1,1,1
Dell,8,0,AMD,Intel Core i7,2.342,Linux,1,0,0,0,1,0,0
Acer,8,0,Nvidia,Intel Core i7,1.588,Windows,1,0,0,0,1,0,0
Lenovo,4,0,Intel,Intel Core i3,1.042,Windows,1,0,0,0,0,1,1
Lenovo,8,0,Nvidia,Intel Core i7,1.809,Linux,1,0,0,0,1,0,0
Lenovo,6,0,Nvidia,Intel Core i7,1.831,Windows,1,0,0,0,1,0,0
Dell,4,0,AMD,Intel Core i3,0.912,Linux,1,0,0,0,0,1,1
Lenovo,8,0,Nvidia,Intel Core i5,1.767,Windows,0,0,0,0,0,0,0
Lenovo,6,0,Intel,Intel Core i5,1.234,Windows,1,0,0,0,0,1,1
Acer,8,0,Nvidia,Intel Core i7,2.027,Windows,1,0,0,0,1,0,0
Acer,12,1,Intel,Intel Core i7,1.404,Windows,1,0,0,0,1,1,1
Lenovo,8,0,Intel,Intel Core i7,2.338,Windows,1,0,0,0,1,1,1
Asus,8,0,Nvidia,Intel Core i5,2.082,Windows,0,0,0,0,0,0,0
Lenovo,16,0,Nvidia,Intel Core i7,2.513,Windows,1,1,1,1,1,0,0
Lenovo,8,0,Nvidia,Intel Core i7,1.404,Linux,1,0,0,0,1,0,0
Acer,2,0,Intel,Intel Dual Core,0.424,Linux,1,0,0,0,0,1,1
Asus,8,0,Nvidia,Intel Core i7,2.53,Windows,1,0,0,0,1,0,0
HP,8,0,Intel,Intel Core i3,1.042,Windows,1,0,0,0,0,1,1
Dell,8,0,Nvidia,Intel Core i7,3.898,Windows,1,0,0,0,1,0,0
Lenovo,8,0,Intel,Intel Core i5,1.575,Windows,1,0,0,0,0,1,1
Lenovo,8,0,Nvidia,Intel Core i7,2.768,Windows,1,0,0,0,1,0,0
Acer,8,0,Nvidia,Intel Core i7,2.086,Linux,1,0,0,0,1,0,0
Dell,16,0,Nvidia,Intel Core i7,6.148,Windows,1,1,1,1,1,0,0
Lenovo,6,0,AMD,AMD Processor,1.063,Windows,0,0,0,0,0,0,0
Asus,16,0,Nvidia,Intel Core i7,3.129,Windows,1,1,1,1,1,0,0
Asus,4,0,Intel,Intel Core i3,1.085,Windows,1,0,0,0,0,1,1
Asus,16,0,Nvidia,Intel Core i7,4.522,Windows,1,1,1,1,1,0,0
Lenovo,6,0,Nvidia,Intel Core i5,1.383,Windows,0,0,0,0,0,0,0
Lenovo,8,0,Nvidia,Intel Core i5,1.17,Linux,0,0,0,0,0,0,0
Asus,8,0,Nvidia,Intel Core i7,2.696,Windows,1,0,0,0,1,0,0
Lenovo,4,0,Intel,Intel Dual Core,0.767,Linux,1,0,0,0,0,1,1
HP,16,1,Intel,Intel Core i7,4.209,Windows,1,0,0,1,1,1,1
Toshiba,8,0,Nvidia,Intel Core i7,2.223,Windows,1,0,0,0,1,0,0
Lenovo,8,0,Nvidia,Intel Core i5,1.745,Windows,0,0,0,0,0,0,0
HP,4,0,Intel,Intel Core i3,1.0,Windows,1,0,0,0,0,1,1
Lenovo,8,0,Intel,Intel Core i5,2.129,Windows,1,0,0,0,0,1,1
Dell,16,1,Intel,Intel Core i7,5.326,Windows,1,0,0,1,1,1,1
MSI,16,0,Nvidia,Intel Core i7,4.473,Windows,1,1,1,1,1,0,0
Acer,8,0,AMD,AMD Processor,1.0,Windows,0,0,0,0,0,0,0
Asus,2,1,Intel,Intel Dual Core,0.586,Windows,1,0,0,0,0,1,1
Dell,8,0,AMD,Intel Core i5,1.799,Windows,0,0,0,0,0,0,0
HP,16,1,Intel,Intel Core i7,5.219,Windows,1,0,0,1,1,1,1
Lenovo,4,0,Intel,Intel Dual Core,0.98,Linux,1,0,0,0,0,1,1
HP,8,0,Intel,Intel Core i5,2.089,Windows,1,0,0,0,0,1,1
Acer,4,0,Intel,Intel Dual Core,1.034,Windows,1,0,0,0,0,1,1
HP,8,0,Intel,Intel Core i7,2.754,Windows,1,0,0,0,1,1,1
Lenovo,4,0,Nvidia,Intel Core i5,1.255,Windows,0,0,0,0,0,0,0
Asus,8,0,Intel,Intel Core i7,2.332,Windows,1,0,0,0,1,1,1
