Company,Ram,Touchscreen,Gpu_brand,Cpu_brand,P,os
Lenovo,4,0,Intel,Intel Core i3,0.786,Linux
Asus,8,0,AMD,AMD Processor,2.768,Windows
Dell,4,0,AMD,Intel Core i5,1.362,Windows
Asus,4,0,Nvidia,Intel Dual Core,0.993,Windows
Lenovo,4,1,Intel,Intel Dual Core,0.68,Linux
Acer,8,0,Nvidia,Intel Core i7,1.792,Windows
HP,4,0,AMD,AMD Processor,0.849,Windows
HP,8,0,Intel,Intel Core i7,2.351,Windows
Acer,4,0,Intel,Intel Core i3,0.818,Windows
Dell,8,0,AMD,Intel Core i7,1.636,Windows
HP,4,0,Intel,Intel Core i3,0.936,Windows
Asus,4,0,Intel,Intel Core i5,1.249,Windows
MSI,16,0,Nvidia,Intel Core i7,5.219,Windows
Asus,4,0,Intel,Intel Core i3,0.884,Linux
Dell,16,0,AMD,Intel Core i7,2.768,Windows
Dell,8,0,Intel,Intel Core i5,1.873,Windows
Lenovo,8,0,Intel,Intel Core i3,1.277,Linux
Asus,8,0,Intel,Intel Core i5,2.005,Windows
HP,8,0,Intel,Intel Core i5,1.471,Windows
Asus,16,0,Nvidia,Intel Core i7,4.226,Windows
HP,4,0,AMD,Intel Core i3,0.935,Windows
HP,4,0,Intel,Intel Dual Core,0.488,Windows
Lenovo,4,0,Intel,Intel Core i5,1.17,Windows
Asus,12,0,Nvidia,Intel Core i7,2.023,Linux
Microsoft,4,1,Intel,Intel Core i5,2.321,Windows
Dell,8,0,AMD,Intel Core i7,2.035,Windows
Dell,8,0,AMD,Intel Core i7,1.854,Windows
MSI,8,0,Nvidia,Intel Core i5,2.334,Windows
Acer,8,0,Intel,Intel Core i3,0.829,Windows
Asus,8,0,Nvidia,Intel Core i7,2.023,Windows
Lenovo,8,0,Intel,Intel Core i5,1.106,Linux
Dell,8,0,Intel,Intel Core i7,1.822,Windows
Acer,4,0,Nvidia,Intel Core i3,1.13,Windows
HP,8,0,Nvidia,Intel Core i5,2.082,Windows
Dell,8,0,Intel,Intel Core i5,2.336,Windows
Apple,8,0,Intel,Intel Core i5,3.218,Mac
HP,8,0,Intel,Intel Core i5,1.833,Windows
Lenovo,4,0,AMD,AMD Processor,0.85,Windows
Acer,4,0,AMD,AMD Processor,0.842,Windows
Dell,16,0,Nvidia,Intel Core i7,2.875,Windows
HP,8,0,Nvidia,Intel Core i7,1.49,Windows
HP,8,0,Intel,Intel Core i5,1.277,Windows
Asus,16,0,Nvidia,Intel Core i7,3.088,Windows
Dell,8,0,Intel,Intel Core i7,3.514,Windows
Asus,8,0,AMD,AMD Processor,1.49,Windows
Acer,8,0,Nvidia,Intel Core i7,1.468,Windows
HP,16,0,Intel,Intel Core i7,2.551,Windows
Dell,8,0,Nvidia,Intel Core i5,2.547,Windows
Asus,8,0,Intel,Intel Core i7,2.236,Windows
Acer,8,1,Intel,Intel Core i5,1.805,Windows
Dell,8,0,AMD,Intel Core i7,1.279,Linux
Dell,4,0,AMD,Intel Core i3,1.034,Linux
Asus,6,0,Nvidia,Intel Core i3,1.23,Windows
HP,12,0,Nvidia,Intel Core i7,2.662,Windows
HP,8,0,AMD,Intel Core i7,1.532,Windows
HP,4,0,AMD,AMD Processor,0.744,Windows
Dell,8,0,AMD,Intel Core i5,1.379,Linux
HP,8,0,Nvidia,Intel Core i7,2.385,Windows
Microsoft,8,1,Intel,Intel Core i5,2.856,Windows
HP,6,0,Nvidia,Intel Core i5,1.404,Windows
Lenovo,4,0,Intel,Intel Core i3,0.884,Windows
Asus,8,0,Nvidia,Intel Core i7,2.543,Windows
MSI,16,0,Nvidia,Intel Core i7,2.768,Windows
Lenovo,8,0,Intel,Intel Core i7,3.154,Windows
Asus,16,0,Nvidia,Intel Core i7,2.69,Windows
Dell,8,1,Intel,Intel Core i7,2.939,Windows
Lenovo,8,1,Intel,Intel Core i5,2.982,Windows
HP,4,0,Intel,Intel Core i5,1.539,Windows
Dell,8,0,Intel,Intel Core i5,3.472,Windows
HP,8,1,Intel,Intel Core i5,2.982,Windows
HP,8,0,Intel,Intel Core i7,2.31,Windows
Dell,8,0,Nvidia,Intel Core i7,2.409,Windows
Asus,4,0,Nvidia,Intel Core i3,1.202,Windows
Asus,8,0,Nvidia,Intel Core i7,2.383,Windows
Acer,6,1,Intel,Intel Core i3,1.021,Windows
MSI,16,0,Nvidia,Intel Core i7,4.777,Windows
Lenovo,8,0,Nvidia,Intel Core i5,1.341,Linux
HP,16,0,Nvidia,Intel Core i7,2.709,Windows
Acer,4,0,AMD,AMD Processor,0.961,Windows
HP,4,0,Intel,Intel Dual Core,0.552,Linux
HP,8,0,Intel,Intel Core i5,1.731,Windows
Asus,4,0,AMD,AMD Processor,0.592,Windows
Dell,16,0,AMD,Intel Core i7,2.975,Windows
HP,8,0,Intel,Intel Core i5,1.978,Windows
Dell,8,0,AMD,Intel Core i5,1.362,Windows
Dell,4,0,AMD,Intel Core i3,0.957,Windows
Acer,8,0,Intel,Intel Core i7,1.884,Windows
Acer,4,0,Nvidia,Intel Core i3,1.219,Windows
HP,8,0,Intel,Intel Core i7,1.274,Windows
HP,8,0,Intel,Intel Core i7,2.106,Windows
Lenovo,4,0,Intel,Intel Dual Core,0.538,Linux
Asus,8,0,Nvidia,Intel Core i5,1.999,Windows
Lenovo,4,0,Nvidia,Intel Core i5,1.063,Linux
HP,4,0,Intel,Intel Core i5,1.49,Windows
Acer,4,0,Nvidia,Intel Core i3,1.396,Windows
Lenovo,8,0,AMD,Intel Core i5,2.378,Windows
Lenovo,8,0,Nvidia,Intel Core i7,1.852,Linux
Toshiba,4,0,Intel,Intel Core i5,1.283,Windows
HP,4,0,AMD,AMD Processor,0.786,Windows
Asus,8,0,Intel,Intel Core i7,2.342,Windows
HP,8,1,Intel,Intel Dual Core,4.292,Windows
Asus,4,0,Intel,Intel Dual Core,0.733,Windows
MSI,16,0,Nvidia,Intel Core i7,4.324,Windows
Acer,4,0,Intel,Intel Core i3,0.953,Windows
Dell,16,0,Nvidia,Intel Core i7,2.662,Windows
Dell,8,0,Nvidia,Intel Core i7,1.916,Windows
Lenovo,4,0,Intel,Intel Core i5,1.061,Windows
MSI,16,0,Nvidia,Intel Core i7,4.028,Windows
HP,4,0,Intel,Intel Core i5,2.306,Windows
HP,6,0,AMD,Intel Core i5,1.319,Windows
Lenovo,4,1,Intel,Intel Core i3,1.341,Windows
Asus,8,1,Intel,Intel Core i5,2.803,Windows
Dell,8,1,Intel,Intel Core i7,2.236,Windows
Toshiba,4,0,Intel,Intel Core i3,0.953,Windows
Asus,4,0,AMD,AMD Processor,0.859,Windows
Acer,4,0,Nvidia,Intel Core i5,1.716,Windows
Dell,8,0,AMD,Intel Core i5,1.552,Windows
Lenovo,16,0,Nvidia,Intel Core i7,2.3,Windows
Acer,4,0,Intel,Intel Dual Core,0.742,Windows
MSI,16,0,Nvidia,Intel Core i7,3.834,Windows
Acer,4,0,Intel,Intel Dual Core,0.775,Windows
Dell,8,0,Nvidia,Intel Core i7,2.26,Windows
Acer,8,0,Nvidia,Intel Core i5,1.82,Windows
HP,4,0,Intel,Intel Core i5,1.607,Windows
Huawei,8,0,Intel,Intel Core i5,2.875,Windows
HP,6,0,AMD,Intel Core i5,1.49,Windows
Lenovo,4,0,AMD,AMD Processor,0.659,Linux
Toshiba,4,0,Intel,Intel Core i3,1.042,Windows
HP,8,0,Nvidia,Intel Core i5,1.967,Windows
Dell,8,0,Intel,Intel Core i3,0.978,Windows
Acer,4,0,Intel,Intel Core i3,0.957,Windows
MSI,32,0,Nvidia,Intel Core i7,5.965,Windows
Lenovo,8,0,AMD,Intel Core i5,1.733,Windows
HP,8,1,Intel,Intel Core i5,3.195,Windows
Dell,16,0,AMD,Intel Core i7,2.236,Linux
Dell,8,0,Intel,Intel Core i5,2.982,Windows
Lenovo,16,1,Intel,Intel Core i7,3.941,Windows
Toshiba,8,0,Intel,Intel Core i5,1.69,Windows
Xiaomi,8,0,Nvidia,Intel Core i5,2.555,Linux
Dell,16,1,Nvidia,Intel Core i7,3.301,Windows
Dell,16,1,Nvidia,Intel Core i7,5.108,Windows
Lenovo,8,0,Nvidia,Intel Core i5,1.66,Linux
Acer,8,0,Intel,Intel Core i5,2.108,Windows
Dell,8,0,AMD,Intel Core i7,2.312,Windows
Lenovo,16,1,Intel,Intel Core i7,6.019,Windows
Vero,4,0,Intel,Intel Dual Core,0.554,Windows
Xiaomi,8,0,Nvidia,Intel Core i5,2.131,Linux
Lenovo,8,0,Nvidia,Intel Core i5,1.488,Linux
Dell,8,1,Intel,Intel Core i7,1.788,Windows
HP,8,0,Nvidia,Intel Core i5,1.948,Windows
Razer,32,1,Nvidia,Intel Core i7,12.998,Windows
HP,8,0,Intel,Intel Core i5,2.044,Windows
HP,16,0,Nvidia,Intel Core i7,2.939,Windows
HP,8,0,Nvidia,Intel Core i7,2.227,Windows
Dell,16,0,Nvidia,Intel Core i7,3.932,Windows
Lenovo,4,0,Intel,Intel Core i5,1.051,Windows
Acer,8,0,Nvidia,Intel Core i7,1.581,Windows
Lenovo,16,0,Nvidia,Intel Core i7,3.727,Windows
Dell,16,0,Nvidia,Intel Dual Core,6.511,Windows
Lenovo,16,0,Nvidia,Intel Core i7,2.979,Linux
Dell,6,1,Intel,Intel Core i3,0.936,Windows
Dell,8,1,Intel,Intel Core i7,4.154,Windows
Dell,8,0,Intel,Intel Core i7,3.088,Windows
Lenovo,8,0,Intel,Intel Core i5,1.272,Windows
Acer,8,0,Nvidia,Intel Core i7,1.66,Linux
Asus,16,0,Nvidia,Intel Core i7,2.999,Windows
HP,4,0,Intel,Intel Core i3,0.744,Linux
Lenovo,8,0,Intel,Intel Core i5,1.17,Linux
Huawei,8,0,Intel,Intel Core i7,3.195,Windows
Dell,8,0,AMD,Intel Core i7,1.986,Windows
Lenovo,8,0,Nvidia,Intel Core i5,1.255,Linux
HP,8,0,Nvidia,Intel Core i7,2.197,Windows
Dell,8,0,Intel,Intel Core i5,2.449,Windows
Dell,16,1,Intel,Intel Core i7,2.726,Windows
Dell,8,0,AMD,Intel Core i5,1.444,Linux
Lenovo,8,0,Intel,Intel Core i5,1.916,Windows
Toshiba,8,0,Intel,Intel Core i7,2.905,Windows
HP,8,0,Intel,Intel Core i5,1.692,Windows
Dell,16,0,Nvidia,Intel Core i7,5.235,Windows
Acer,8,0,Nvidia,Intel Core i7,1.773,Windows
Dell,16,1,AMD,Intel Core i7,1.831,Windows
Asus,8,0,Nvidia,Intel Core i5,1.639,Windows
Asus,8,0,Nvidia,Intel Core i5,1.899,Windows
HP,8,0,AMD,Intel Core i7,2.704,Windows
Asus,4,0,Intel,Intel Core i3,0.85,Windows
HP,4,0,AMD,AMD Processor,0.703,Windows
Lenovo,16,0,Nvidia,Intel Core i7,3.195,Windows
Dell,8,0,Intel,Intel Core i5,1.831,Windows
Acer,8,1,Intel,Intel Core i5,1.468,Windows
Dell,16,0,AMD,Intel Core i7,1.916,Linux
Acer,4,0,Intel,Intel Core i3,0.831,Linux
Asus,4,0,AMD,AMD Processor,1.225,Windows
Asus,32,0,Nvidia,Intel Core i7,8.29,Windows
Acer,8,0,Nvidia,Intel Core i5,1.803,Windows
Lenovo,8,0,Intel,Intel Core i3,1.255,Windows
Asus,8,0,Nvidia,Intel Core i7,2.44,Windows
Asus,8,0,Nvidia,Intel Core i7,1.895,Linux
Dell,8,0,Nvidia,Intel Core i5,1.873,Windows
Lenovo,8,1,Intel,Intel Core i7,2.3,Windows
Dell,8,0,AMD,Intel Core i7,2.099,Windows
HP,8,1,Intel,Intel Core i5,1.191,Windows
Asus,16,0,Nvidia,Intel Core i7,6.391,Windows
HP,4,0,Intel,Intel Core i5,1.439,Windows
Apple,8,0,Intel,Intel Core i5,4.348,Mac
Dell,8,1,Intel,Intel Core i7,1.745,Windows
Asus,16,0,Nvidia,Intel Core i7,3.834,Windows
Asus,4,0,AMD,AMD Processor,1.0,Windows
Lenovo,8,1,Intel,Intel Core i7,3.941,Windows
Acer,4,0,Nvidia,Intel Core i3,1.496,Windows
Dell,8,0,Intel,Intel Core i5,2.023,Windows
HP,8,0,AMD,AMD Processor,0.95,Windows
HP,16,0,Nvidia,Intel Core i7,2.257,Windows
MSI,16,0,Nvidia,Intel Core i7,5.326,Windows
Lenovo,8,1,Nvidia,Intel Core i7,3.621,Windows
Dell,8,0,AMD,Intel Core i7,2.434,Windows
Lenovo,4,0,Intel,Intel Core i3,0.946,Linux
HP,4,0,Intel,Intel Core i5,1.539,Windows
Dell,4,0,Intel,Intel Core i5,1.4,Windows
Dell,8,0,AMD,Intel Core i5,1.204,Windows
Dell,8,1,Intel,Intel Core i5,1.703,Windows
Asus,8,1,Intel,Intel Core i7,3.195,Windows
Lenovo,4,0,Intel,Intel Core i5,0.995,Linux
HP,8,0,Nvidia,Intel Core i7,2.17,Windows
Lenovo,8,0,Intel,Intel Core i7,1.875,Windows
Apple,8,0,Intel,Intel Core i5,4.175,Mac
Asus,16,0,AMD,AMD Processor,3.301,Windows
Dell,8,0,AMD,Intel Core i7,1.567,Linux
Lenovo,16,1,Intel,Intel Core i7,5.326,Windows
Toshiba,8,0,Nvidia,Intel Core i7,1.731,Windows
Dell,12,0,Intel,Intel Core i7,1.52,Windows
Dell,8,0,AMD,Intel Core i7,2.342,Linux
Acer,8,0,Nvidia,Intel Core i7,1.588,Windows
Lenovo,4,0,Intel,Intel Core i3,1.042,Windows
Lenovo,8,0,Nvidia,Intel Core i7,1.809,Linux
Lenovo,6,0,Nvidia,Intel Core i7,1.831,Windows
Dell,4,0,AMD,Intel Core i3,0.912,Linux
Lenovo,8,0,Nvidia,Intel Core i5,1.767,Windows
Lenovo,6,0,Intel,Intel Core i5,1.234,Windows
Acer,8,0,Nvidia,Intel Core i7,2.027,Windows
Acer,12,1,Intel,Intel Core i7,1.404,Windows
Lenovo,8,0,Intel,Intel Core i7,2.338,Windows
Asus,8,0,Nvidia,Intel Core i5,2.082,Windows
Lenovo,16,0,Nvidia,Intel Core i7,2.513,Windows
Lenovo,8,0,Nvidia,Intel Core i7,1.404,Linux
Acer,2,0,Intel,Intel Dual Core,0.424,Linux
Asus,8,0,Nvidia,Intel Core i7,2.53,Windows
HP,8,0,Intel,Intel Core i3,1.042,Windows
Dell,8,0,Nvidia,Intel Core i7,3.898,Windows
Lenovo,8,0,Intel,Intel Core i5,1.575,Windows
Lenovo,8,0,Nvidia,Intel Core i7,2.768,Windows
Acer,8,0,Nvidia,Intel Core i7,2.086,Linux
Dell,16,0,Nvidia,Intel Core i7,6.148,Windows
Lenovo,6,0,AMD,AMD Processor,1.063,Windows
Asus,16,0,Nvidia,Intel Core i7,3.129,Windows
Asus,4,0,Intel,Intel Core i3,1.085,Windows
Asus,16,0,Nvidia,Intel Core i7,4.522,Windows
Lenovo,6,0,Nvidia,Intel Core i5,1.383,Windows
Lenovo,8,0,Nvidia,Intel Core i5,1.17,Linux
Asus,8,0,Nvidia,Intel Core i7,2.696,Windows
Lenovo,4,0,Intel,Intel Dual Core,0.767,Linux
HP,16,1,Intel,Intel Core i7,4.209,Windows
Toshiba,8,0,Nvidia,Intel Core i7,2.223,Windows
Lenovo,8,0,Nvidia,Intel Core i5,1.745,Windows
HP,4,0,Intel,Intel Core i3,1.0,Windows
Lenovo,8,0,Intel,Intel Core i5,2.129,Windows
Dell,16,1,Intel,Intel Core i7,5.326,Windows
MSI,16,0,Nvidia,Intel Core i7,4.473,Windows
Acer,8,0,AMD,AMD Processor,1.0,Windows
Asus,2,1,Intel,Intel Dual Core,0.586,Windows
Dell,8,0,AMD,Intel Core i5,1.799,Windows
HP,16,1,Intel,Intel Core i7,5.219,Windows
Lenovo,4,0,Intel,Intel Dual Core,0.98,Linux
HP,8,0,Intel,Intel Core i5,2.089,Windows
Acer,4,0,Intel,Intel Dual Core,1.034,Windows
HP,8,0,Intel,Intel Core i7,2.754,Windows
Lenovo,4,0,Nvidia,Intel Core i5,1.255,Windows
Asus,8,0,Intel,Intel Core i7,2.332,Windows
HP,8,0,Intel,Intel Core i7,1.922,Windows
Acer,8,0,AMD,AMD Processor,1.404,Windows
Lenovo,4,0,Intel,Intel Dual Core,0.622,Windows
Acer,6,0,Intel,Intel Core i5,1.17,Windows
Asus,8,0,Nvidia,Intel Core i7,2.238,Windows
HP,8,0,Intel,Intel Core i7,2.845,Windows
Dell,32,1,Nvidia,Intel Core i7,5.624,Windows
MSI,8,0,Nvidia,Intel Core i7,2.555,Windows
Toshiba,8,0,Intel,Intel Core i5,2.01,Windows
Asus,8,0,Intel,Intel Core i7,2.843,Windows
Lenovo,4,0,Intel,Intel Core i3,0.957,Windows
Asus,8,0,Nvidia,Intel Core i7,2.129,Windows
HP,8,0,Intel,Intel Core i5,2.702,Windows
Dell,8,0,Nvidia,Intel Core i5,2.236,Windows
HP,8,0,Intel,Intel Core i5,2.438,Windows
Asus,4,0,Intel,Intel Dual Core,0.586,Linux
Dell,8,0,Nvidia,Intel Core i5,2.435,Windows
Dell,4,0,Intel,Intel Dual Core,0.586,Linux
Lenovo,12,0,AMD,AMD Processor,1.916,Windows
HP,8,0,Nvidia,Intel Core i3,1.526,Windows
Lenovo,16,1,Intel,Intel Core i7,4.473,Windows
Dell,8,0,Intel,Intel Core i7,3.365,Windows
Lenovo,16,0,Nvidia,Intel Core i7,2.406,Windows
HP,2,0,Intel,Intel Dual Core,0.595,Windows
Dell,16,0,Intel,Intel Core i7,3.427,Windows
Asus,4,1,Intel,Intel Dual Core,0.799,Windows
Dell,8,0,AMD,Intel Core i5,1.413,Windows
Dell,16,1,Nvidia,Intel Core i7,4.321,Windows
HP,8,0,Intel,Intel Core i7,2.779,Windows
MSI,8,0,Nvidia,Intel Core i7,3.003,Windows
HP,8,0,Nvidia,Intel Core i7,3.705,Windows
Toshiba,16,0,Nvidia,Intel Core i7,2.99,Windows
Dell,8,0,AMD,Intel Core i7,2.069,Windows
Lenovo,4,0,Intel,Intel Dual Core,0.686,Linux
Dell,8,0,Nvidia,Intel Core i5,2.129,Windows
Dell,8,1,Intel,Intel Core i5,1.188,Windows
Dell,8,0,Intel,Intel Core i5,3.041,Windows
HP,4,0,Intel,Intel Core i3,0.936,Windows
Asus,8,0,Intel,Intel Core i5,2.014,Windows
Lenovo,6,0,Nvidia,Intel Core i5,1.532,Windows
HP,8,0,Intel,Intel Core i5,1.362,Windows
Lenovo,8,0,Nvidia,Intel Core i3,1.063,Linux
HP,8,0,Intel,Intel Dual Core,0.829,Windows
Dell,8,0,AMD,Intel Core i5,2.312,Windows
Lenovo,8,0,Nvidia,Intel Core i5,1.724,Linux
Dell,8,0,AMD,Intel Core i7,1.916,Windows
HP,8,0,Intel,Intel Core i7,3.73,Windows
Asus,12,1,Nvidia,Intel Core i7,2.342,Windows
Acer,4,0,AMD,AMD Processor,0.908,Windows
Asus,16,0,AMD,AMD Processor,4.687,Windows
Lenovo,4,0,AMD,AMD Processor,1.042,Windows
Dell,8,1,Intel,Intel Core i7,1.852,Windows
HP,4,0,AMD,AMD Processor,1.042,Windows
Lenovo,4,0,Intel,Intel Dual Core,1.179,Windows
Dell,4,0,Intel,Intel Dual Core,0.659,Windows
Asus,4,0,Intel,Intel Dual Core,0.61,Windows
Acer,8,0,Nvidia,Intel Core i7,1.803,Linux
HP,8,0,Nvidia,Intel Core i7,2.538,Windows
Lenovo,4,0,Intel,Intel Core i3,0.86,Linux
Asus,8,0,Nvidia,Intel Core i7,3.527,Windows
Lenovo,8,0,Nvidia,Intel Core i5,2.342,Windows
Asus,16,1,Intel,Intel Core i7,3.727,Windows
Lenovo,8,0,Intel,Intel Core i7,4.863,Windows
Lenovo,4,0,Intel,Intel Core i3,1.17,Windows
Dell,8,0,AMD,Intel Core i5,2.918,Windows
Dell,8,0,Nvidia,Intel Core i7,4.55,Windows
Lenovo,16,1,Intel,Intel Core i7,5.347,Windows
Asus,8,0,Nvidia,Intel Core i7,2.214,Windows
Asus,16,0,Nvidia,Intel Core i7,3.391,Windows
Acer,12,0,Nvidia,Intel Core i5,1.479,Windows
MSI,8,0,Nvidia,Intel Core i7,2.875,Windows
Dell,8,0,AMD,Intel Core i7,1.66,Linux
HP,4,0,AMD,AMD Processor,1.063,Windows
Lenovo,8,0,AMD,Intel Core i7,2.62,Windows
Lenovo,8,0,Intel,Intel Core i5,1.999,Windows
Dell,8,1,Nvidia,Intel Core i7,5.78,Windows
Lenovo,16,0,Intel,Intel Core i7,5.594,Windows
Lenovo,4,0,Intel,Intel Dual Core,0.652,Windows
Asus,16,0,Nvidia,Intel Core i7,3.259,Windows
Lenovo,8,0,AMD,Intel Core i5,2.439,Windows
Acer,8,0,Nvidia,Intel Core i7,1.873,Linux
MSI,16,0,Nvidia,Intel Core i7,4.793,Windows
Asus,8,0,Intel,Intel Core i7,3.992,Windows
Toshiba,16,0,Intel,Intel Core i7,3.723,Windows
Dell,8,0,Intel,Intel Core i7,3.58,Windows
Lenovo,4,0,Intel,Intel Core i3,0.872,Windows
Lenovo,2,0,Intel,Intel Dual Core,0.649,Windows
Lenovo,8,0,Nvidia,Intel Core i7,4.103,Windows
Lenovo,8,0,Nvidia,Intel Core i7,4.141,Windows
HP,4,0,AMD,Intel Core i3,1.0,Windows
Acer,8,1,Intel,Intel Core i7,1.682,Windows
Asus,8,1,Intel,Intel Core i5,1.978,Windows
Dell,4,0,AMD,Intel Core i5,1.276,Linux
Dell,4,0,Intel,Intel Core i3,1.468,Windows
HP,8,0,Intel,Intel Core i7,3.197,Windows
Dell,8,0,Intel,Intel Core i5,1.151,Windows
Lenovo,8,0,AMD,Intel Core i7,2.59,Windows
Lenovo,16,1,Nvidia,Intel Core i7,4.047,Windows
Chuwi,6,0,Intel,Intel Dual Core,0.957,Windows
HP,8,0,Intel,Intel Core i7,3.041,Windows
Asus,8,0,Nvidia,Intel Core i3,1.272,Linux
Dell,16,0,Nvidia,Intel Core i7,5.965,Windows
Dell,8,0,Nvidia,Intel Core i7,2.47,Windows
Dell,8,0,AMD,Intel Core i7,2.435,Windows
Dell,8,0,Intel,Intel Core i7,2.342,Linux
HP,12,0,Nvidia,Intel Core i7,4.26,Windows
Mediacom,4,1,Intel,Intel Dual Core,0.637,Windows
Samsung,4,0,Intel,Intel Dual Core,0.573,Linux
Lenovo,8,0,Intel,Intel Core i7,2.153,Windows
Lenovo,4,0,Intel,Intel Core i3,1.277,Windows
Lenovo,16,0,Nvidia,Intel Core i7,5.211,Windows
Lenovo,16,0,Nvidia,Intel Core i7,5.219,Windows
Asus,8,0,AMD,AMD Processor,3.612,Windows
HP,4,0,Intel,Intel Dual Core,0.74,Windows
Google,16,1,Intel,Intel Core i7,4.687,Linux
Asus,4,0,Intel,Intel Core i5,1.191,Linux
Lenovo,8,0,AMD,AMD Processor,1.106,Windows
Dell,4,0,AMD,Intel Core i5,1.596,Windows
Lenovo,8,0,Intel,Intel Core i5,3.045,Windows
Lenovo,4,0,Intel,Intel Dual Core,0.744,Windows
HP,8,0,Nvidia,Intel Core i7,2.342,Windows
Dell,8,0,Nvidia,Intel Core i5,2.513,Windows
Acer,4,0,Intel,Intel Core i5,0.942,Linux
Dell,8,0,Nvidia,Intel Dual Core,4.247,Windows
MSI,8,0,Nvidia,Intel Core i5,2.19,Windows
Microsoft,16,1,Intel,Intel Core i7,5.518,Windows
HP,8,0,Intel,Intel Core i5,1.255,Windows
Dell,16,0,Nvidia,Intel Core i7,4.209,Windows
HP,8,0,Intel,Intel Core i7,3.269,Windows
Lenovo,8,0,Intel,Intel Core i5,2.866,Windows
Dell,8,0,AMD,Intel Core i7,2.086,Windows
Dell,4,1,Intel,Intel Dual Core,1.021,Windows
Dell,8,0,Nvidia,Intel Core i7,4.36,Windows
Microsoft,4,1,Intel,Intel Dual Core,2.108,Windows
Microsoft,8,1,Intel,Intel Core i7,3.834,Windows
HP,8,0,Intel,Intel Core i3,1.364,Windows
Acer,4,0,Nvidia,Intel Core i3,1.159,Windows
Acer,4,0,Intel,Intel Dual Core,0.927,Windows
Asus,8,0,Intel,Intel Core i5,1.596,Windows
Lenovo,8,0,AMD,Intel Core i7,1.703,Linux
Lenovo,8,0,Nvidia,Intel Core i7,4.454,Windows
Asus,4,0,Intel,Intel Dual Core,0.648,Windows
Acer,4,0,Nvidia,Intel Core i3,1.0,Windows
Dell,8,0,AMD,Intel Core i5,1.618,Windows
HP,12,0,Nvidia,Intel Core i7,3.621,Windows
Lenovo,12,0,Intel,Intel Core i7,3.96,Windows
HP,8,1,Intel,Intel Core i7,4.26,Windows
HP,8,0,AMD,Intel Core i5,2.459,Windows
Google,8,1,Intel,Intel Core i5,2.717,Linux
Dell,8,1,Intel,Intel Core i5,3.925,Windows
Asus,12,0,Intel,Intel Core i7,2.768,Windows
Dell,8,0,Intel,Intel Core i3,1.577,Windows
Dell,8,0,Nvidia,Intel Core i7,5.132,Windows
Lenovo,8,0,Intel,Intel Core i5,2.907,Windows
Dell,8,0,AMD,Intel Core i5,1.439,Windows
Toshiba,8,0,Intel,Intel Core i5,3.563,Windows
Dell,8,0,Nvidia,Intel Core i7,2.69,Windows
