M,G,MD,W,AI,S,O,P,os,Company,Touchscreen,Cpu_brand,Ram,Gpu_brand
1,0,0,0,0,1,1,1.453,Windows,Acer,0,Intel Core i5,4,Intel
0,0,0,0,0,0,0,2.129,Windows,Dell,1,Intel Core i5,12,Nvidia
1,0,0,0,0,1,1,3.024,Mac,Apple,0,Intel Core i5,8,Intel
1,0,0,0,0,1,1,0.786,Linux,Lenovo,0,Intel Core i3,4,Intel
0,0,0,0,0,0,0,2.768,Windows,Asus,0,AMD Processor,8,AMD
0,0,0,0,0,0,0,1.362,Windows,Dell,0,Intel Core i5,4,AMD
0,0,0,0,0,0,0,0.993,Windows,Asus,0,Intel Dual Core,4,Nvidia
1,0,0,0,0,1,1,0.68,Linux,Lenovo,1,Intel Dual Core,4,Intel
1,0,0,0,1,0,0,1.792,Windows,Acer,0,Intel Core i7,8,Nvidia
0,0,0,0,0,0,0,0.849,Windows,HP,0,AMD Processor,4,AMD
1,0,0,0,1,1,1,2.351,Windows,HP,0,Intel Core i7,8,Intel
1,0,0,0,0,1,1,0.818,Windows,Acer,0,Intel Core i3,4,Intel
1,0,0,0,1,0,0,1.636,Windows,Dell,0,Intel Core i7,8,AMD
1,0,0,0,0,1,1,0.936,Windows,HP,0,Intel Core i3,4,Intel
1,0,0,0,0,1,1,1.249,Windows,Asus,0,Intel Core i5,4,Intel
1,1,1,1,1,0,0,5.219,Windows,MSI,0,Intel Core i7,16,Nvidia
1,0,0,0,0,1,1,0.884,Linux,Asus,0,Intel Core i3,4,Intel
1,1,1,1,1,0,0,2.768,Windows,Dell,0,Intel Core i7,16,AMD
1,0,0,0,0,1,1,1.873,Windows,Dell,0,Intel Core i5,8,Intel
1,0,0,0,0,1,1,1.277,Linux,Lenovo,0,Intel Core i3,8,Intel
1,0,0,0,0,1,1,2.005,Windows,Asus,0,Intel Core i5,8,Intel
1,0,0,0,0,1,1,1.471,Windows,HP,0,Intel Core i5,8,Intel
1,1,1,1,1,0,0,4.226,Windows,Asus,0,Intel Core i7,16,Nvidia
1,0,0,0,0,1,1,0.935,Windows,HP,0,Intel Core i3,4,AMD
1,0,0,0,0,1,1,0.488,Windows,HP,0,Intel Dual Core,4,Intel
1,0,0,0,0,1,1,1.17,Windows,Lenovo,0,Intel Core i5,4,Intel
1,0,0,0,1,0,0,2.023,Linux,Asus,0,Intel Core i7,12,Nvidia
1,0,0,0,0,1,1,2.321,Windows,Microsoft,1,Intel Core i5,4,Intel
1,0,0,0,1,0,0,2.035,Windows,Dell,0,Intel Core i7,8,AMD
1,0,0,0,1,0,0,1.854,Windows,Dell,0,Intel Core i7,8,AMD
0,0,0,0,0,0,0,2.334,Windows,MSI,0,Intel Core i5,8,Nvidia
1,0,0,0,0,1,1,0.829,Windows,Acer,0,Intel Core i3,8,Intel
1,0,0,0,1,0,0,2.023,Windows,Asus,0,Intel Core i7,8,Nvidia
1,0,0,0,0,1,1,1.106,Linux,Lenovo,0,Intel Core i5,8,Intel
1,0,0,0,1,1,1,1.822,Windows,Dell,0,Intel Core i7,8,Intel
1,0,0,0,0,1,1,1.13,Windows,Acer,0,Intel Core i3,4,Nvidia
0,0,0,0,0,0,0,2.082,Windows,HP,0,Intel Core i5,8,Nvidia
1,0,0,0,0,1,1,2.336,Windows,Dell,0,Intel Core i5,8,Intel
1,0,0,0,0,1,1,3.218,Mac,Apple,0,Intel Core i5,8,Intel
1,0,0,0,0,1,1,1.833,Windows,HP,0,Intel Core i5,8,Intel
0,0,0,0,0,0,0,0.85,Windows,Lenovo,0,AMD Processor,4,AMD
0,0,0,0,0,0,0,0.842,Windows,Acer,0,AMD Processor,4,AMD
1,1,1,1,1,0,0,2.875,Windows,Dell,0,Intel Core i7,16,Nvidia
1,0,0,0,1,0,0,1.49,Windows,HP,0,Intel Core i7,8,Nvidia
1,0,0,0,0,1,1,1.277,Windows,HP,0,Intel Core i5,8,Intel
1,1,1,1,1,0,0,3.088,Windows,Asus,0,Intel Core i7,16,Nvidia
1,0,0,0,1,1,1,3.514,Windows,Dell,0,Intel Core i7,8,Intel
0,0,0,0,0,0,0,1.49,Windows,Asus,0,AMD Processor,8,AMD
1,0,0,0,1,0,0,1.468,Windows,Acer,0,Intel Core i7,8,Nvidia
1,0,0,1,1,1,1,2.551,Windows,HP,0,Intel Core i7,16,Intel
0,0,0,0,0,0,0,2.547,Windows,Dell,0,Intel Core i5,8,Nvidia
1,0,0,0,1,1,1,2.236,Windows,Asus,0,Intel Core i7,8,Intel
1,0,0,0,0,1,1,1.805,Windows,Acer,1,Intel Core i5,8,Intel
1,0,0,0,1,0,0,1.279,Linux,Dell,0,Intel Core i7,8,AMD
1,0,0,0,0,1,1,1.034,Linux,Dell,0,Intel Core i3,4,AMD
1,0,0,0,0,1,1,1.23,Windows,Asus,0,Intel Core i3,6,Nvidia
1,0,0,0,1,0,0,2.662,Windows,HP,0,Intel Core i7,12,Nvidia
1,0,0,0,1,0,0,1.532,Windows,HP,0,Intel Core i7,8,AMD
0,0,0,0,0,0,0,0.744,Windows,HP,0,AMD Processor,4,AMD
0,0,0,0,0,0,0,1.379,Linux,Dell,0,Intel Core i5,8,AMD
1,0,0,0,1,0,0,2.385,Windows,HP,0,Intel Core i7,8,Nvidia
1,0,0,0,0,1,1,2.856,Windows,Microsoft,1,Intel Core i5,8,Intel
0,0,0,0,0,0,0,1.404,Windows,HP,0,Intel Core i5,6,Nvidia
1,0,0,0,0,1,1,0.884,Windows,Lenovo,0,Intel Core i3,4,Intel
1,0,0,0,1,0,0,2.543,Windows,Asus,0,Intel Core i7,8,Nvidia
1,1,1,1,1,0,0,2.768,Windows,MSI,0,Intel Core i7,16,Nvidia
1,0,0,0,1,1,1,3.154,Windows,Lenovo,0,Intel Core i7,8,Intel
1,1,1,1,1,0,0,2.69,Windows,Asus,0,Intel Core i7,16,Nvidia
1,0,0,0,1,1,1,2.939,Windows,Dell,1,Intel Core i7,8,Intel
1,0,0,0,0,1,1,2.982,Windows,Lenovo,1,Intel Core i5,8,Intel
1,0,0,0,0,1,1,1.539,Windows,HP,0,Intel Core i5,4,Intel
1,0,0,0,0,1,1,3.472,Windows,Dell,0,Intel Core i5,8,Intel
1,0,0,0,0,1,1,2.982,Windows,HP,1,Intel Core i5,8,Intel
1,0,0,0,1,1,1,2.31,Windows,HP,0,Intel Core i7,8,Intel
1,0,0,0,1,0,0,2.409,Windows,Dell,0,Intel Core i7,8,Nvidia
1,0,0,0,0,1,1,1.202,Windows,Asus,0,Intel Core i3,4,Nvidia
1,0,0,0,1,0,0,2.383,Windows,Asus,0,Intel Core i7,8,Nvidia
1,0,0,0,0,1,1,1.021,Windows,Acer,1,Intel Core i3,6,Intel
1,1,1,1,1,0,0,4.777,Windows,MSI,0,Intel Core i7,16,Nvidia
0,0,0,0,0,0,0,1.341,Linux,Lenovo,0,Intel Core i5,8,Nvidia
1,1,1,1,1,0,0,2.709,Windows,HP,0,Intel Core i7,16,Nvidia
0,0,0,0,0,0,0,0.961,Windows,Acer,0,AMD Processor,4,AMD
1,0,0,0,0,1,1,0.552,Linux,HP,0,Intel Dual Core,4,Intel
1,0,0,0,0,1,1,1.731,Windows,HP,0,Intel Core i5,8,Intel
0,0,0,0,0,0,0,0.592,Windows,Asus,0,AMD Processor,4,AMD
1,1,1,1,1,0,0,2.975,Windows,Dell,0,Intel Core i7,16,AMD
1,0,0,0,0,1,1,1.978,Windows,HP,0,Intel Core i5,8,Intel
0,0,0,0,0,0,0,1.362,Windows,Dell,0,Intel Core i5,8,AMD
1,0,0,0,0,1,1,0.957,Windows,Dell,0,Intel Core i3,4,AMD
1,0,0,0,1,1,1,1.884,Windows,Acer,0,Intel Core i7,8,Intel
1,0,0,0,0,1,1,1.219,Windows,Acer,0,Intel Core i3,4,Nvidia
1,0,0,0,1,1,1,1.274,Windows,HP,0,Intel Core i7,8,Intel
1,0,0,0,1,1,1,2.106,Windows,HP,0,Intel Core i7,8,Intel
1,0,0,0,0,1,1,0.538,Linux,Lenovo,0,Intel Dual Core,4,Intel
0,0,0,0,0,0,0,1.999,Windows,Asus,0,Intel Core i5,8,Nvidia
0,0,0,0,0,0,0,1.063,Linux,Lenovo,0,Intel Core i5,4,Nvidia
1,0,0,0,0,1,1,1.49,Windows,HP,0,Intel Core i5,4,Intel
1,0,0,0,0,1,1,1.396,Windows,Acer,0,Intel Core i3,4,Nvidia
0,0,0,0,0,0,0,2.378,Windows,Lenovo,0,Intel Core i5,8,AMD
1,0,0,0,1,0,0,1.852,Linux,Lenovo,0,Intel Core i7,8,Nvidia
1,0,0,0,0,1,1,1.283,Windows,Toshiba,0,Intel Core i5,4,Intel
0,0,0,0,0,0,0,0.786,Windows,HP,0,AMD Processor,4,AMD
1,0,0,0,1,1,1,2.342,Windows,Asus,0,Intel Core i7,8,Intel
1,0,0,0,0,1,1,4.292,Windows,HP,1,Intel Dual Core,8,Intel
1,0,0,0,0,1,1,0.733,Windows,Asus,0,Intel Dual Core,4,Intel
1,1,1,1,1,0,0,4.324,Windows,MSI,0,Intel Core i7,16,Nvidia
1,0,0,0,0,1,1,0.953,Windows,Acer,0,Intel Core i3,4,Intel
1,1,1,1,1,0,0,2.662,Windows,Dell,0,Intel Core i7,16,Nvidia
1,0,0,0,1,0,0,1.916,Windows,Dell,0,Intel Core i7,8,Nvidia
1,0,0,0,0,1,1,1.061,Windows,Lenovo,0,Intel Core i5,4,Intel
1,1,1,1,1,0,0,4.028,Windows,MSI,0,Intel Core i7,16,Nvidia
1,0,0,0,0,1,1,2.306,Windows,HP,0,Intel Core i5,4,Intel
0,0,0,0,0,0,0,1.319,Windows,HP,0,Intel Core i5,6,AMD
1,0,0,0,0,1,1,1.341,Windows,Lenovo,1,Intel Core i3,4,Intel
1,0,0,0,0,1,1,2.803,Windows,Asus,1,Intel Core i5,8,Intel
1,0,0,0,1,1,1,2.236,Windows,Dell,1,Intel Core i7,8,Intel
1,0,0,0,0,1,1,0.953,Windows,Toshiba,0,Intel Core i3,4,Intel
0,0,0,0,0,0,0,0.859,Windows,Asus,0,AMD Processor,4,AMD
0,0,0,0,0,0,0,1.716,Windows,Acer,0,Intel Core i5,4,Nvidia
0,0,0,0,0,0,0,1.552,Windows,Dell,0,Intel Core i5,8,AMD
1,1,1,1,1,0,0,2.3,Windows,Lenovo,0,Intel Core i7,16,Nvidia
1,0,0,0,0,1,1,0.742,Windows,Acer,0,Intel Dual Core,4,Intel
1,1,1,1,1,0,0,3.834,Windows,MSI,0,Intel Core i7,16,Nvidia
1,0,0,0,0,1,1,0.775,Windows,Acer,0,Intel Dual Core,4,Intel
1,0,0,0,1,0,0,2.26,Windows,Dell,0,Intel Core i7,8,Nvidia
0,0,0,0,0,0,0,1.82,Windows,Acer,0,Intel Core i5,8,Nvidia
1,0,0,0,0,1,1,1.607,Windows,HP,0,Intel Core i5,4,Intel
1,0,0,0,0,1,1,2.875,Windows,Huawei,0,Intel Core i5,8,Intel
0,0,0,0,0,0,0,1.49,Windows,HP,0,Intel Core i5,6,AMD
0,0,0,0,0,0,0,0.659,Linux,Lenovo,0,AMD Processor,4,AMD
1,0,0,0,0,1,1,1.042,Windows,Toshiba,0,Intel Core i3,4,Intel
0,0,0,0,0,0,0,1.967,Windows,HP,0,Intel Core i5,8,Nvidia
1,0,0,0,0,1,1,0.978,Windows,Dell,0,Intel Core i3,8,Intel
1,0,0,0,0,1,1,0.957,Windows,Acer,0,Intel Core i3,4,Intel
1,1,1,1,1,0,0,5.965,Windows,MSI,0,Intel Core i7,32,Nvidia
0,0,0,0,0,0,0,1.733,Windows,Lenovo,0,Intel Core i5,8,AMD
1,0,0,0,0,1,1,3.195,Windows,HP,1,Intel Core i5,8,Intel
1,1,1,1,1,0,0,2.236,Linux,Dell,0,Intel Core i7,16,AMD
1,0,0,0,0,1,1,2.982,Windows,Dell,0,Intel Core i5,8,Intel
1,0,0,1,1,1,1,3.941,Windows,Lenovo,1,Intel Core i7,16,Intel
1,0,0,0,0,1,1,1.69,Windows,Toshiba,0,Intel Core i5,8,Intel
0,0,0,0,0,0,0,2.555,Linux,Xiaomi,0,Intel Core i5,8,Nvidia
1,1,1,1,1,0,0,3.301,Windows,Dell,1,Intel Core i7,16,Nvidia
1,1,1,1,1,0,0,5.108,Windows,Dell,1,Intel Core i7,16,Nvidia
0,0,0,0,0,0,0,1.66,Linux,Lenovo,0,Intel Core i5,8,Nvidia
1,0,0,0,0,1,1,2.108,Windows,Acer,0,Intel Core i5,8,Intel
1,0,0,0,1,0,0,2.312,Windows,Dell,0,Intel Core i7,8,AMD
1,0,0,1,1,1,1,6.019,Windows,Lenovo,1,Intel Core i7,16,Intel
1,0,0,0,0,1,1,0.554,Windows,Vero,0,Intel Dual Core,4,Intel
0,0,0,0,0,0,0,2.131,Linux,Xiaomi,0,Intel Core i5,8,Nvidia
0,0,0,0,0,0,0,1.488,Linux,Lenovo,0,Intel Core i5,8,Nvidia
1,0,0,0,1,1,1,1.788,Windows,Dell,1,Intel Core i7,8,Intel
0,0,0,0,0,0,0,1.948,Windows,HP,0,Intel Core i5,8,Nvidia
1,1,1,1,1,0,0,12.998,Windows,Razer,1,Intel Core i7,32,Nvidia
1,0,0,0,0,1,1,2.044,Windows,HP,0,Intel Core i5,8,Intel
1,1,1,1,1,0,0,2.939,Windows,HP,0,Intel Core i7,16,Nvidia
1,0,0,0,1,0,0,2.227,Windows,HP,0,Intel Core i7,8,Nvidia
1,1,1,1,1,0,0,3.932,Windows,Dell,0,Intel Core i7,16,Nvidia
1,0,0,0,0,1,1,1.051,Windows,Lenovo,0,Intel Core i5,4,Intel
1,0,0,0,1,0,0,1.581,Windows,Acer,0,Intel Core i7,8,Nvidia
1,1,1,1,1,0,0,3.727,Windows,Lenovo,0,Intel Core i7,16,Nvidia
0,0,1,1,0,0,0,6.511,Windows,Dell,0,Intel Dual Core,16,Nvidia
1,1,1,1,1,0,0,2.979,Linux,Lenovo,0,Intel Core i7,16,Nvidia
1,0,0,0,0,1,1,0.936,Windows,Dell,1,Intel Core i3,6,Intel
1,0,0,0,1,1,1,4.154,Windows,Dell,1,Intel Core i7,8,Intel
1,0,0,0,1,1,1,3.088,Windows,Dell,0,Intel Core i7,8,Intel
1,0,0,0,0,1,1,1.272,Windows,Lenovo,0,Intel Core i5,8,Intel
1,0,0,0,1,0,0,1.66,Linux,Acer,0,Intel Core i7,8,Nvidia
1,1,1,1,1,0,0,2.999,Windows,Asus,0,Intel Core i7,16,Nvidia
1,0,0,0,0,1,1,0.744,Linux,HP,0,Intel Core i3,4,Intel
1,0,0,0,0,1,1,1.17,Linux,Lenovo,0,Intel Core i5,8,Intel
1,0,0,0,1,1,1,3.195,Windows,Huawei,0,Intel Core i7,8,Intel
1,0,0,0,1,0,0,1.986,Windows,Dell,0,Intel Core i7,8,AMD
0,0,0,0,0,0,0,1.255,Linux,Lenovo,0,Intel Core i5,8,Nvidia
1,0,0,0,1,0,0,2.197,Windows,HP,0,Intel Core i7,8,Nvidia
1,0,0,0,0,1,1,2.449,Windows,Dell,0,Intel Core i5,8,Intel
1,0,0,1,1,1,1,2.726,Windows,Dell,1,Intel Core i7,16,Intel
0,0,0,0,0,0,0,1.444,Linux,Dell,0,Intel Core i5,8,AMD
1,0,0,0,0,1,1,1.916,Windows,Lenovo,0,Intel Core i5,8,Intel
1,0,0,0,1,1,1,2.905,Windows,Toshiba,0,Intel Core i7,8,Intel
1,0,0,0,0,1,1,1.692,Windows,HP,0,Intel Core i5,8,Intel
1,1,1,1,1,0,0,5.235,Windows,Dell,0,Intel Core i7,16,Nvidia
1,0,0,0,1,0,0,1.773,Windows,Acer,0,Intel Core i7,8,Nvidia
1,1,1,1,1,0,0,1.831,Windows,Dell,1,Intel Core i7,16,AMD
0,0,0,0,0,0,0,1.639,Windows,Asus,0,Intel Core i5,8,Nvidia
0,0,0,0,0,0,0,1.899,Windows,Asus,0,Intel Core i5,8,Nvidia
1,0,0,0,1,0,0,2.704,Windows,HP,0,Intel Core i7,8,AMD
1,0,0,0,0,1,1,0.85,Windows,Asus,0,Intel Core i3,4,Intel
0,0,0,0,0,0,0,0.703,Windows,HP,0,AMD Processor,4,AMD
1,1,1,1,1,0,0,3.195,Windows,Lenovo,0,Intel Core i7,16,Nvidia
1,0,0,0,0,1,1,1.831,Windows,Dell,0,Intel Core i5,8,Intel
1,0,0,0,0,1,1,1.468,Windows,Acer,1,Intel Core i5,8,Intel
1,1,1,1,1,0,0,1.916,Linux,Dell,0,Intel Core i7,16,AMD
1,0,0,0,0,1,1,0.831,Linux,Acer,0,Intel Core i3,4,Intel
0,0,0,0,0,0,0,1.225,Windows,Asus,0,AMD Processor,4,AMD
1,1,1,1,1,0,0,8.29,Windows,Asus,0,Intel Core i7,32,Nvidia
0,0,0,0,0,0,0,1.803,Windows,Acer,0,Intel Core i5,8,Nvidia
1,0,0,0,0,1,1,1.255,Windows,Lenovo,0,Intel Core i3,8,Intel
1,0,0,0,1,0,0,2.44,Windows,Asus,0,Intel Core i7,8,Nvidia
1,0,0,0,1,0,0,1.895,Linux,Asus,0,Intel Core i7,8,Nvidia
0,0,0,0,0,0,0,1.873,Windows,Dell,0,Intel Core i5,8,Nvidia
1,0,0,0,1,1,1,2.3,Windows,Lenovo,1,Intel Core i7,8,Intel
1,0,0,0,1,0,0,2.099,Windows,Dell,0,Intel Core i7,8,AMD
1,0,0,0,0,1,1,1.191,Windows,HP,1,Intel Core i5,8,Intel
1,1,1,1,1,0,0,6.391,Windows,Asus,0,Intel Core i7,16,Nvidia
1,0,0,0,0,1,1,1.439,Windows,HP,0,Intel Core i5,4,Intel
1,0,0,0,0,1,1,4.348,Mac,Apple,0,Intel Core i5,8,Intel
1,0,0,0,1,1,1,1.745,Windows,Dell,1,Intel Core i7,8,Intel
1,1,1,1,1,0,0,3.834,Windows,Asus,0,Intel Core i7,16,Nvidia
0,0,0,0,0,0,0,1.0,Windows,Asus,0,AMD Processor,4,AMD
1,0,0,0,1,1,1,3.941,Windows,Lenovo,1,Intel Core i7,8,Intel
1,0,0,0,0,1,1,1.496,Windows,Acer,0,Intel Core i3,4,Nvidia
1,0,0,0,0,1,1,2.023,Windows,Dell,0,Intel Core i5,8,Intel
0,0,0,0,0,0,0,0.95,Windows,HP,0,AMD Processor,8,AMD
1,1,1,1,1,0,0,2.257,Windows,HP,0,Intel Core i7,16,Nvidia
1,1,1,1,1,0,0,5.326,Windows,MSI,0,Intel Core i7,16,Nvidia
1,0,0,0,1,0,0,3.621,Windows,Lenovo,1,Intel Core i7,8,Nvidia
1,0,0,0,1,0,0,2.434,Windows,Dell,0,Intel Core i7,8,AMD
1,0,0,0,0,1,1,0.946,Linux,Lenovo,0,Intel Core i3,4,Intel
1,0,0,0,0,1,1,1.539,Windows,HP,0,Intel Core i5,4,Intel
1,0,0,0,0,1,1,1.4,Windows,Dell,0,Intel Core i5,4,Intel
0,0,0,0,0,0,0,1.204,Windows,Dell,0,Intel Core i5,8,AMD
1,0,0,0,0,1,1,1.703,Windows,Dell,1,Intel Core i5,8,Intel
1,0,0,0,1,1,1,3.195,Windows,Asus,1,Intel Core i7,8,Intel
1,0,0,0,0,1,1,0.995,Linux,Lenovo,0,Intel Core i5,4,Intel
1,0,0,0,1,0,0,2.17,Windows,HP,0,Intel Core i7,8,Nvidia
1,0,0,0,1,1,1,1.875,Windows,Lenovo,0,Intel Core i7,8,Intel
1,0,0,0,0,1,1,4.175,Mac,Apple,0,Intel Core i5,8,Intel
0,0,1,1,0,0,0,3.301,Windows,Asus,0,AMD Processor,16,AMD
1,0,0,0,1,0,0,1.567,Linux,Dell,0,Intel Core i7,8,AMD
1,0,0,1,1,1,1,5.326,Windows,Lenovo,1,Intel Core i7,16,Intel
1,0,0,0,1,0,0,1.731,Windows,Toshiba,0,Intel Core i7,8,Nvidia
1,0,0,0,1,1,1,1.52,Windows,Dell,0,Intel Core i7,12,Intel
1,0,0,0,1,0,0,2.342,Linux,Dell,0,Intel Core i7,8,AMD
1,0,0,0,1,0,0,1.588,Windows,Acer,0,Intel Core i7,8,Nvidia
1,0,0,0,0,1,1,1.042,Windows,Lenovo,0,Intel Core i3,4,Intel
1,0,0,0,1,0,0,1.809,Linux,Lenovo,0,Intel Core i7,8,Nvidia
1,0,0,0,1,0,0,1.831,Windows,Lenovo,0,Intel Core i7,6,Nvidia
1,0,0,0,0,1,1,0.912,Linux,Dell,0,Intel Core i3,4,AMD
0,0,0,0,0,0,0,1.767,Windows,Lenovo,0,Intel Core i5,8,Nvidia
1,0,0,0,0,1,1,1.234,Windows,Lenovo,0,Intel Core i5,6,Intel
1,0,0,0,1,0,0,2.027,Windows,Acer,0,Intel Core i7,8,Nvidia
1,0,0,0,1,1,1,1.404,Windows,Acer,1,Intel Core i7,12,Intel
1,0,0,0,1,1,1,2.338,Windows,Lenovo,0,Intel Core i7,8,Intel
0,0,0,0,0,0,0,2.082,Windows,Asus,0,Intel Core i5,8,Nvidia
1,1,1,1,1,0,0,2.513,Windows,Lenovo,0,Intel Core i7,16,Nvidia
1,0,0,0,1,0,0,1.404,Linux,Lenovo,0,Intel Core i7,8,Nvidia
1,0,0,0,0,1,1,0.424,Linux,Acer,0,Intel Dual Core,2,Intel
1,0,0,0,1,0,0,2.53,Windows,Asus,0,Intel Core i7,8,Nvidia
1,0,0,0,0,1,1,1.042,Windows,HP,0,Intel Core i3,8,Intel
1,0,0,0,1,0,0,3.898,Windows,Dell,0,Intel Core i7,8,Nvidia
1,0,0,0,0,1,1,1.575,Windows,Lenovo,0,Intel Core i5,8,Intel
1,0,0,0,1,0,0,2.768,Windows,Lenovo,0,Intel Core i7,8,Nvidia
1,0,0,0,1,0,0,2.086,Linux,Acer,0,Intel Core i7,8,Nvidia
1,1,1,1,1,0,0,6.148,Windows,Dell,0,Intel Core i7,16,Nvidia
0,0,0,0,0,0,0,1.063,Windows,Lenovo,0,AMD Processor,6,AMD
1,1,1,1,1,0,0,3.129,Windows,Asus,0,Intel Core i7,16,Nvidia
1,0,0,0,0,1,1,1.085,Windows,Asus,0,Intel Core i3,4,Intel
1,1,1,1,1,0,0,4.522,Windows,Asus,0,Intel Core i7,16,Nvidia
0,0,0,0,0,0,0,1.383,Windows,Lenovo,0,Intel Core i5,6,Nvidia
0,0,0,0,0,0,0,1.17,Linux,Lenovo,0,Intel Core i5,8,Nvidia
1,0,0,0,1,0,0,2.696,Windows,Asus,0,Intel Core i7,8,Nvidia
1,0,0,0,0,1,1,0.767,Linux,Lenovo,0,Intel Dual Core,4,Intel
1,0,0,1,1,1,1,4.209,Windows,HP,1,Intel Core i7,16,Intel
1,0,0,0,1,0,0,2.223,Windows,Toshiba,0,Intel Core i7,8,Nvidia
0,0,0,0,0,0,0,1.745,Windows,Lenovo,0,Intel Core i5,8,Nvidia
1,0,0,0,0,1,1,1.0,Windows,HP,0,Intel Core i3,4,Intel
1,0,0,0,0,1,1,2.129,Windows,Lenovo,0,Intel Core i5,8,Intel
1,0,0,1,1,1,1,5.326,Windows,Dell,1,Intel Core i7,16,Intel
1,1,1,1,1,0,0,4.473,Windows,MSI,0,Intel Core i7,16,Nvidia
0,0,0,0,0,0,0,1.0,Windows,Acer,0,AMD Processor,8,AMD
1,0,0,0,0,1,1,0.586,Windows,Asus,1,Intel Dual Core,2,Intel
0,0,0,0,0,0,0,1.799,Windows,Dell,0,Intel Core i5,8,AMD
1,0,0,1,1,1,1,5.219,Windows,HP,1,Intel Core i7,16,Intel
1,0,0,0,0,1,1,0.98,Linux,Lenovo,0,Intel Dual Core,4,Intel
1,0,0,0,0,1,1,2.089,Windows,HP,0,Intel Core i5,8,Intel
1,0,0,0,0,1,1,1.034,Windows,Acer,0,Intel Dual Core,4,Intel
1,0,0,0,1,1,1,2.754,Windows,HP,0,Intel Core i7,8,Intel
0,0,0,0,0,0,0,1.255,Windows,Lenovo,0,Intel Core i5,4,Nvidia
1,0,0,0,1,1,1,2.332,Windows,Asus,0,Intel Core i7,8,Intel
